,sup_id,chinese_name,translated_name,company,translated_company,sup_email,sup_phone
0,SZ2432G,李龙,li long,泰麒麟科技有限公司,tai qi linke ji you xian gong si,ll@taiqilin.com,18666149147
1,BX7587X,鞠俊,ju jun,创联世纪信息有限公司,chuang lian shi jixin xi you xian gong si,jj@chuanglianshiji.com,15835420584
2,ZH2431C,李丽,li li,立信电子科技有限公司,li xin dian zike ji you xian gong si,ll@lixindianzi.com,14524183358
3,YY0329F,庞静,pang jing,天益科技有限公司,tian yike ji you xian gong si,pj@tianyi.com,14540326704
4,RB3649C,张飞,zhang fei,佳禾科技有限公司,jia heke ji you xian gong si,zf@jiahe.com,13581785991
5,RB2952W,王伟,wang wei,通际名联信息有限公司,tong ji ming lianxin xi you xian gong si,ww@tongjiminglian.com,14535270564
6,UV9891K,刘鹏,liu peng,戴硕电子传媒有限公司,dai shuo dian zichuan mei you xian gong si,lp@daishuodianzi.com,14540019419
7,YF8252T,刘宇,liu yu,海创网络有限公司,hai chuangwang luo you xian gong si,ly@haichuang.com,18262032523
8,WD1857B,梁晶,liang jing,华远软件信息有限公司,hua yuan ruan jianxin xi you xian gong si,lj@huayuanruanjian.com,13430853456
9,PD2190E,邓荣,deng rong,鑫博腾飞传媒有限公司,xin bo teng feichuan mei you xian gong si,dr@xinbotengfei.com,15220158917
10,SR9228Q,陈健,chen jian,惠派国际公司传媒有限公司,hui pai guo ji gong sichuan mei you xian gong si,cj@huipaiguojigongsi.com,18892079231
11,NH1688V,赵文,zhao wen,九方科技有限公司,jiu fangke ji you xian gong si,zw@jiufang.com,15886029761
12,RK3556T,李佳,li jia,黄石金承网络有限公司,huang shi jin chengwang luo you xian gong si,lj@huangshijincheng.com,15771670118
13,AF0568K,萧娜,xiao nuo,凌颖信息信息有限公司,ling ying xin xixin xi you xian gong si,xn@lingyingxinxi.com,18771503117
14,UY1910X,宋秀荣,song xiu rong,毕博诚传媒有限公司,bi bo chengchuan mei you xian gong si,sxr@bibocheng.com,13413489790
15,RE8187B,常凯,chang kai,同兴万点传媒有限公司,tong xing wan dianchuan mei you xian gong si,ck@tongxingwandian.com,15353612914
16,VR3102H,马柳,ma liu,太极传媒有限公司,tai jichuan mei you xian gong si,ml@taiji.com,18675616553
17,AX0458C,黄波,huang bo,明腾信息有限公司,ming tengxin xi you xian gong si,hb@mingteng.com,13680339473
18,ZM3261H,陈宁,chen ning,联通时科科技有限公司,lian tong shi keke ji you xian gong si,cn@liantongshike.com,13077545713
19,MZ3257B,李婷,li ting,鸿睿思博科技有限公司,hong rui si boke ji you xian gong si,lt@hongruisibo.com,15867538500
20,YC1676A,席俊,xi jun,信诚致远信息有限公司,xin cheng zhi yuanxin xi you xian gong si,xj@xinchengzhiyuan.com,13909747583
21,MM7488T,刘莉,liu li,彩虹信息有限公司,cai hongxin xi you xian gong si,ll@caihong.com,13542627246
22,BK7610U,张晨,zhang chen,万迅电脑信息有限公司,wan xun dian naoxin xi you xian gong si,zc@wanxundiannao.com,14712765296
23,VH5348R,王秀华,wang xiu hua,泰麒麟传媒有限公司,tai qi linchuan mei you xian gong si,wxh@taiqilin.com,13922407853
24,PE1450D,张璐,zhang lu,四通网络有限公司,si tongwang luo you xian gong si,zl@sitong.com,15997079036
25,NE7800R,李淑兰,li shu lan,昂歌信息科技有限公司,ang ge xin xike ji you xian gong si,lsl@anggexinxi.com,13129153898
26,RF2527M,张红,zhang hong,晖来计算机传媒有限公司,hui lai ji suan jichuan mei you xian gong si,zh@huilaijisuanji.com,14513908061
27,TT5975J,马柳,ma liu,飞利信信息有限公司,fei li xinxin xi you xian gong si,ml@feilixin.com,18077911506
28,XU9345A,梁鑫,liang xin,数字100传媒有限公司,shu zi 1 0 0chuan mei you xian gong si,lx@shuzi100.com,15231315023
29,RB9022X,陈欢,chen huan,浦华众城信息有限公司,pu hua zhong chengxin xi you xian gong si,ch@puhuazhongcheng.com,14574799604
30,SY1653X,韩秀英,han xiu ying,泰麒麟科技有限公司,tai qi linke ji you xian gong si,hxy@taiqilin.com,13343459933
31,HK2355K,刘欢,liu huan,和泰网络有限公司,he taiwang luo you xian gong si,lh@hetai.com,18681747117
32,KR8633V,张建,zhang jian,商软冠联网络有限公司,shang ruan guan lianwang luo you xian gong si,zj@shangruanguanlian.com,15985448852
33,FM4910A,周建平,zhou jian ping,易动力网络有限公司,yi dong liwang luo you xian gong si,zjp@yidongli.com,18870694279
34,YB7933V,刘雪,liu xue,昊嘉网络有限公司,hao jiawang luo you xian gong si,lx@haojia.com,13117442946
35,FM8749S,王峰,wang feng,九方科技有限公司,jiu fangke ji you xian gong si,wf@jiufang.com,13583166682
36,ZY0158D,许亮,xu liang,数字100网络有限公司,shu zi 1 0 0wang luo you xian gong si,xl@shuzi100.com,15923215110
37,RP2123Q,余春梅,yu chun mei,信诚致远网络有限公司,xin cheng zhi yuanwang luo you xian gong si,ycm@xinchengzhiyuan.com,15577489660
38,ZZ0667V,董凤兰,dong feng lan,维旺明信息有限公司,wei wang mingxin xi you xian gong si,dfl@weiwangming.com,13259143116
39,RF8886Q,陈建平,chen jian ping,天开网络有限公司,tian kaiwang luo you xian gong si,cjp@tiankai.com,18658620866
40,NC9578K,陈静,chen jing,双敏电子网络有限公司,shuang min dian ziwang luo you xian gong si,cj@shuangmindianzi.com,15577658591
41,XC0569A,范玉兰,fan yu lan,浦华众城网络有限公司,pu hua zhong chengwang luo you xian gong si,fyl@puhuazhongcheng.com,14774832388
42,MN8392K,潘洋,pan yang,襄樊地球村网络有限公司,xiang fan di qiu cunwang luo you xian gong si,py@xiangfandiqiucun.com,13723912082
43,MM4233P,鲍丽娟,bao li juan,戴硕电子传媒有限公司,dai shuo dian zichuan mei you xian gong si,blj@daishuodianzi.com,13213391469
44,JT4476N,吴洁,wu jie,天开传媒有限公司,tian kaichuan mei you xian gong si,wj@tiankai.com,14759779670
45,HX3051E,游丹,you dan,精芯网络有限公司,jing xinwang luo you xian gong si,yd@jingxin.com,15386712908
46,ZP4540A,赵淑珍,zhao shu zhen,华远软件科技有限公司,hua yuan ruan jianke ji you xian gong si,zsz@huayuanruanjian.com,13521490883
47,NQ1231Z,潘平,pan ping,通际名联科技有限公司,tong ji ming lianke ji you xian gong si,pp@tongjiminglian.com,14724374958
48,AJ8724C,黄坤,huang kun,万迅电脑网络有限公司,wan xun dian naowang luo you xian gong si,hk@wanxundiannao.com,13369109817
49,NP1494X,曾桂荣,ceng gui rong,南康信息有限公司,nan kangxin xi you xian gong si,cgr@nankang.com,18012655462
50,AQ5304R,齐建平,qi jian ping,中建创业信息有限公司,zhong jian chuang yexin xi you xian gong si,qjp@zhongjianchuangye.com,15524689726
51,MG0356Z,冼玉珍,xian yu zhen,时刻网络有限公司,shi kewang luo you xian gong si,xyz@shike.com,13183206822
52,BN3477B,黎东,li dong,昂歌信息传媒有限公司,ang ge xin xichuan mei you xian gong si,ld@anggexinxi.com,18654820502
53,QB0171B,鲍秀兰,bao xiu lan,MBP软件传媒有限公司,M B P ruan jianchuan mei you xian gong si,bxl@MBPruanjian.com,18772479277
54,YU1303P,张玉华,zhang yu hua,创汇网络有限公司,chuang huiwang luo you xian gong si,zyh@chuanghui.com,13644345147
55,HY9657H,詹欣,zhan xin,九方科技有限公司,jiu fangke ji you xian gong si,zx@jiufang.com,14551142957
56,YV8179W,黎建军,li jian jun,同兴万点网络有限公司,tong xing wan dianwang luo you xian gong si,ljj@tongxingwandian.com,14738473304
57,HT7591B,李璐,li lu,昊嘉传媒有限公司,hao jiachuan mei you xian gong si,ll@haojia.com,13888555456
58,NF2840K,彭志强,peng zhi qiang,艾提科信传媒有限公司,ai ti ke xinchuan mei you xian gong si,pzq@aitikexin.com,15283566196
59,DB4026T,徐坤,xu kun,数字100科技有限公司,shu zi 1 0 0ke ji you xian gong si,xk@shuzi100.com,14536011108
60,TT1661G,张莹,zhang ying,华泰通安网络有限公司,hua tai tong anwang luo you xian gong si,zy@huataitongan.com,18579612997
61,TR0960R,邓秀英,deng xiu ying,泰麒麟网络有限公司,tai qi linwang luo you xian gong si,dxy@taiqilin.com,15624287286
62,JJ4867Z,李瑞,li rui,恒聪百汇科技有限公司,heng cong bai huike ji you xian gong si,lr@hengcongbaihui.com,15625894587
63,QG6251Q,姜淑英,jiang shu ying,泰麒麟信息有限公司,tai qi linxin xi you xian gong si,jsy@taiqilin.com,15849480021
64,DV6001U,庞欢,pang huan,飞海科技传媒有限公司,fei hai ke jichuan mei you xian gong si,ph@feihaikeji.com,14526530434
65,JP1797F,黄秀英,huang xiu ying,富罳传媒有限公司,fu sichuan mei you xian gong si,hxy@fusi.com,13449960802
66,XG7992P,常丹丹,chang dan dan,昂歌信息信息有限公司,ang ge xin xixin xi you xian gong si,cdd@anggexinxi.com,13333903146
67,AP5759F,夏淑华,xia shu hua,晖来计算机信息有限公司,hui lai ji suan jixin xi you xian gong si,xsh@huilaijisuanji.com,13686021163
68,QD2822N,林艳,lin yan,和泰网络有限公司,he taiwang luo you xian gong si,ly@hetai.com,18754978191
69,NT0152V,周成,zhou cheng,超艺传媒有限公司,chao yichuan mei you xian gong si,zc@chaoyi.com,15187939754
70,ED2568N,张晶,zhang jing,恩悌信息有限公司,en tixin xi you xian gong si,zj@enti.com,13939642529
